0.0164547905	0.0082891178	0	0.0096950217
0.6082644921	5.8938715365	2.9157280348	34.8194320783
0.6211435509	4.5656552944	2.9685952633	54.6821221152
0	3.5409120196	4.5037882714	13.9074346421
0.2595118682	12.3053772756	23.7720456543	4.0661868173
0.0635851463	0.0520313433	0	0.080937364
0.9682321996	15.0801623566	18.3751737635	86.0508905
0.9286647735	11.7091039813	16.4903704704	140.2824068889
0.0245149903	21.2646511046	23.4378929797	100.2642675099
0.4592803994	27.3984105945	47.1071967424	24.8887036434
0.2047521837	0.2252486621	0.107454491	0.5956186091
3.7382951733	13.691748839	17.4264651438	94.569548512
2.9815898982	10.1448921154	15.2491071463	135.4879213373
2.3136816801	20.5652935545	22.7088898906	122.0781315401
1.9781497298	27.0347400888	44.9882173347	26.7371395501
0.1857461921	0.1573903681	0.0772218425	0.4327303568
4.169381815	13.8194428674	18.7552751627	102.5637864001
3.4253469845	11.1736017245	17.3819728271	161.1256378868
2.6255229011	21.4458406848	23.3337662948	130.2008735428
2.3463356994	29.404786811	49.1728823076	29.3577016232
